# ---
# @plan: memory_system_comprehensive_plan.md
# @layer: L3_semantic
# @created: 2026-06-05
# @author: hermes-agent
# @status: draft
# @row_count: 20
# @parent_index: master_tasks.csv
# @updated_at: 2026-06-07T06:02:22Z
# @notes: L3 cleanup 2026-06-07: 833->316 entries, weekly cron added.
# @notes_update: 2026-06-05 22:11 — PA-3 done (5/5 source entries deleted, hermes-agent empty). LOOP-4 (cron) approved with constraints, pending script extension. LOOP-5 (BUG-1 reproduction) added — must run before contacting mem0 support. 2 new tasks added.
# @notes_update: 2026-06-05 18:15 — L3 closed loop scaffolding live. mem0_read_v1.py provides read_by_id, list_canonical, wait_for_propagation (handles 30s write-path bug), list_stale_namespaces, get_org_stats. memory_health_check_v1.py runs the full audit (org + canonical + stale + char budget + sacred count + 5-bucket dist). First read-only run 2026-06-05 18:14: CRITICAL (1 stale drift + canonical list shows 0 due to propagation bug, but read_by_id confirms 5 Step 2 entries intact with all metadata). BUG-1 added to track propagation investigation.
# ---
rank,task_id,task,layer,phase,priority,status,capability,effort,impact,dependencies,owner,approval_required,source_plan_section,notes,created_at
1,A1,"Fix entity-ID inconsistency: .env uses boss/hermes; mem0.json uses hermes-boss-7577661620/hermes-agent. Canonicalize in mem0.json.",L3,A,P0,done,mem0 entity scoping,S,high,,agent,yes,§4 Phase A,"User flagged in research. Two parallel namespaces, real bug. DONE 2026-06-05 13:26: canonicalized to user_id=boss, agent_id=hermes, app_id=hermes. Backup at mem0.json.bak.20260605_132555. Old-namespace data lives in mem0 cloud, will be migrated/cleaned by CL-A1.",2026-06-05
6,A2,"Enable hybrid search: keyword_search: true in mem0.json.",L3,A,P0,done,mem0 hybrid search,S,medium,,agent,yes,§4 Phase A,"Trivial config flip, immediate value. DONE 2026-06-05 13:26: flipped to true in mem0.json (same edit as A1).",2026-06-05
2,B1,"Define 5-bucket category taxonomy: preferences / environment / project / media / safety. Backfill on existing entries.",L3,B,P1,done,mem0 custom categories,M,high,CL-A3,agent,no,§4 Phase B,"Buckets match the actual mix of stored facts. DONE 2026-06-05 13:33: taxonomy defined in CATEGORIES constant of memory_audit_v1.py and memory_layers.yaml. Existing entries currently use mem0's default categories (agent_state, infrastructure, etc.) — backfill pass (CL-B1) will attach 5-bucket category metadata on top.",2026-06-05
16,B2,"Adopt custom_instructions per mem0_conclude call: durable-facts-only extraction policy.",L3,B,P1,done,mem0 custom instructions,S,medium,,agent,no,§4 Phase B,"Single most powerful quality lever. WRAPPER BUILT 2026-06-05 14:30: mem0_wrapper_v1.py DEFAULT_CUSTOM_INSTRUCTIONS applied to every write_l3 call. Status verified.",2026-06-05
17,B3,"Attach custom metadata on every L3 write: topic, sacred, ttl_days, source, layer_promotion_origin.",L3,B,P1,done,mem0 metadata,S,medium,,agent,no,§4 Phase B,"Enables future audit + filtering. WRAPPER BUILT 2026-06-05 14:30: mem0_wrapper_v1.py attaches full metadata on every write.",2026-06-05
18,B4,"Adopt run_id for ephemeral session memory: cron jobs and short-video runs scope writes to a run_id.",L3,B,P1,done,mem0 run_id scoping,S,medium,,agent,no,§4 Phase B,"Prevents ephemeral state polluting long-term memory. WRAPPER BUILT 2026-06-05 14:30: mem0_wrapper_v1.py write_ephemeral(state, run_id).",2026-06-05
16,C1,"Connect mem0-webhook (port 9119) to memory.add/update/delete events. Trigger cleanup cron on add-rate spikes; log all deletes.",L3,C,P2,pending,mem0 webhooks,M,high,,agent,yes,§4 Phase C,"Webhook service is up but has no event subscriptions.",2026-06-05
17,C3,"Weekly memory health report (covers L3): dedup hits, char budget, top categories.",cross,C,P2,pending,mem0 observability,S,medium,C1,agent,yes,§4 Phase C,"Tagged cross.",2026-06-05
24,D2,"Multimodal: accept image references as L3 memories with mime_type metadata.",L3,D,P3,pending,mem0 multimodal,M,medium,B3,agent,no,§4 Phase D,"Light-touch first: metadata only, not embeddings.",2026-06-05
25,D3,"Dashboard triage workflow: use app.mem0.ai for bulk review/edit/delete.",L3,D,P3,pending,mem0 dashboard,S,low,,agent,no,§4 Phase D,"Situational value.",2026-06-05
27,D1,"Custom reranker evaluation: compare default vs domain-tuned (music/production terms).",L3,D,P3,pending,mem0 custom reranker,M,low,,agent,no,§4 Phase D,"Probably not worth it; data will tell.",2026-06-05
28,D4,"Graph memory A/B: 1 week with graph on vs off, measure recall on 12-phase LAW + sacred rules.",L3,D,P3,pending,mem0 graph memory,L,low,,agent,yes,§4 Phase D,"Gated on data + user approval. May need $249/mo tier.",2026-06-05
29,D5,"Audit log archival: mirror Pro audit logs to ~/.hermes/logs/mem0_audit/.",L3,D,P3,pending,mem0 audit logs,S,low,,agent,no,§4 Phase D,"Defer until we know if we have access.",2026-06-05
14,A4,"Wire memory_layers.yaml into config.yaml — defines L3 routing policy.",cross,A,P0,done,hermes config,S,medium,,agent,yes,§4 Phase A,"Tagged cross. DONE 2026-06-05 13:44: 7 new keys appended inside existing memory: block (layers_file, categories[5], dedup_threshold, char_budget_per_turn, sacred_keywords[7]). YAML valid, top-level key count unchanged at 67. Backup at config.yaml.bak.20260605_134324.",2026-06-05
|19,C2,"L2→L3 auto-promotion detector: produce L3 promotion list from L2 recurrence.",cross,C,P2,done,session_search recurrence,M,medium,B1,agent,no,§4 Phase C,"Tagged cross (L2 produces, L3 receives). DONE 2026-06-05 14:29: memory_promote_detect_v1.py built. Scans state.db for multi-session keyphrases, cross-references L3. Result: 0 promotion candidates — L2 corpus is small (25 user messages, mostly short) and the recurring phrases ('System status' x5) are already covered by other paths. Detector works correctly on the data; will become useful as L2 corpus grows. Status synced with master 2026-06-05 17:35.",2026-06-05|
|30,LOOP-1,"Build mem0_read_v1.py — canonical read path with propagation-aware retry.",L3,A,P1,done,mem0 read path,S,high,,agent,no,§5 P3 observability,"DONE 2026-06-05 18:14. Functions: read_by_id, list_namespace, list_canonical, wait_for_propagation, get_org_stats, list_stale_namespaces. CLI: read, list, canonical, wait, stale, stats. Companion to mem0_wrapper_v1.py. Mirrors master_tasks.csv rank 34.",2026-06-05|
|31,LOOP-2,"Build memory_health_check_v1.py — audit + dashboard + self-test.",L3,C,P1,done,mem0 health check,M,high,LOOP-1,agent,no,§5 P3 observability,"DONE 2026-06-05 18:14. Reports: org stats, canonical signals, stale drift, char budget, sacred count, 5-bucket dist. Self-test gated on --self-test. Exit codes: 0/1/2 healthy/warn/critical. First read-only run 2026-06-05 18:14: CRITICAL (1 stale drift + 0 canonical via list due to propagation bug). Mirrors master_tasks.csv rank 35.",2026-06-05|
|32,BUG-1,"Investigate mem0 write-path propagation lag (>=30s invisible to list/search).",L3,A,P1,done,mem0 write path,M,high,,agent,no,§5 P3 observability,"POST returns 200 OK + event:ADD + quota consumed, but new record invisible to GET /v1/memories/ (list) and /v1/memories/search/ for >=30s. GET-by-id works. Confirmed 2x: 2026-06-05 17:50 (CL-A3 6th summary) + 2026-06-05 18:12 (PA-2 5 entries). Mitigated in mem0_read_v1.py via wait_for_propagation(). Long-term: contact mem0 support. Mirrors master_tasks.csv rank 33.",2026-06-05|
|33,LOOP-4,"Schedule memory_health_check_v1.py as daily cron: 04:00 America/Los_Angeles, hermes-alerts Telegram only, healthy=summary-only, full dashboard only on exit 1/2, distinct HEALTH CHECK FAILED alert, non-root owner.",cross,C,P1,pending,cron observability,S,high,LOOP-2,agent,yes,§2.4 closed loop,"APPROVED 2026-06-05T22:11. Pre-requisite: extend memory_health_check_v1.py with HEALTH CHECK FAILED handling. Mirrors master_tasks.csv rank 37 and pro_master_tasks.csv rank 17.",2026-06-05|
|34,LOOP-5,"Re-baseline mem0 write-path propagation bug: POST 3 entries, capture precise timing across list/search/get-by-id at t+0/5/10/30/60/120s. Output = hard-numbers reproduction case for mem0 support ticket.",L3,A,P1,pending,mem0 write path,M,high,BUG-1,agent,no,§2.3 closed loop,"BEFORE contacting mem0 support. POST 3 new entries with timestamps, hit GET /v1/memories/ list, /v1/memories/search/, and GET /v1/memories/{id}/ at t+0, t+5, t+10, t+30, t+60, t+120s. Capture entry IDs, write timestamps, list-response timestamps, exact lag duration. Mitigated in mem0_read_v1.py via wait_for_propagation() but root cause unknown. Mirrors master_tasks.csv rank 38 and pro_master_tasks.csv rank 18.",2026-06-05|
